bay_name,grid_row,grid_col,level
PA109-4a,4,109,Level 1
PA109-4b,4,110,Level 1
PA111-4a,4,111,Level 1
PA111-4b,4,112,Level 1
PA113-4a,4,113,Level 1
PA113-4b,4,114,Level 1
PA115-4a,4,115,Level 1
PA115-4b,4,116,Level 1
PA117-4a,4,117,Level 1
PA117-4b,4,118,Level 1
PA1-3a,5,1,Level 1
PA1-3b,5,2,Level 1
PA3-3a,5,3,Level 1
PA3-3b,5,4,Level 1
PA5-3a,5,5,Level 1
PA5-3b,5,6,Level 1
PA7-3a,5,7,Level 1
PA7-3b,5,8,Level 1
PA9-3a,5,9,Level 1
PA9-3b,5,10,Level 1
PA11-3a,5,11,Level 1
PA11-3b,5,12,Level 1
PA13-3a,5,13,Level 1
PA13-3b,5,14,Level 1
PA15-3a,5,15,Level 1
PA15-3b,5,16,Level 1
PA17-3a,5,17,Level 1
PA17-3b,5,18,Level 1
PA19-3a,5,19,Level 1
PA19-3b,5,20,Level 1
PA21-3a,5,21,Level 1
PA21-3b,5,22,Level 1
PA23-3a,5,23,Level 1
PA23-3b,5,24,Level 1
PA25-3a,5,25,Level 1
PA25-3b,5,26,Level 1
PA27-3a,5,27,Level 1
PA27-3b,5,28,Level 1
PA29-3a,5,29,Level 1
PA29-3b,5,30,Level 1
PA31-3a,5,31,Level 1
PA31-3b,5,32,Level 1
PA33-3a,5,33,Level 1
PA33-3b,5,34,Level 1
PA35-3a,5,35,Level 1
PA35-3b,5,36,Level 1
PA37-3a,5,37,Level 1
PA37-3b,5,38,Level 1
PA39-3a,5,39,Level 1
PA39-3b,5,40,Level 1
PA41-3a,5,41,Level 1
PA41-3b,5,42,Level 1
PA43-3a,5,43,Level 1
PA43-3b,5,44,Level 1
PA45-3a,5,45,Level 1
PA45-3b,5,46,Level 1
PA47-3a,5,47,Level 1
PA47-3b,5,48,Level 1
PA49-3a,5,49,Level 1
PA49-3b,5,50,Level 1
PA51-3a,5,51,Level 1
PA51-3b,5,52,Level 1
PA53-3a,5,53,Level 1
PA53-3b,5,54,Level 1
PA55-3a,5,55,Level 1
PA55-3b,5,56,Level 1
PA57-3a,5,57,Level 1
PA57-3b,5,58,Level 1
PA59-3a,5,59,Level 1
PA59-3b,5,60,Level 1
PA61-3a,5,61,Level 1
PA61-3b,5,62,Level 1
PA63-3a,5,63,Level 1
PA63-3b,5,64,Level 1
PA65-3a,5,65,Level 1
PA65-3b,5,66,Level 1
PA67-3a,5,67,Level 1
PA67-3b,5,68,Level 1
PA69-3a,5,69,Level 1
PA69-3b,5,70,Level 1
PA71-3a,5,71,Level 1
PA71-3b,5,72,Level 1
PA73-3a,5,73,Level 1
PA73-3b,5,74,Level 1
PA75-3a,5,75,Level 1
PA75-3b,5,76,Level 1
PA77-3a,5,77,Level 1
PA77-3b,5,78,Level 1
PA79-3a,5,79,Level 1
PA79-3b,5,80,Level 1
PA81-3a,5,81,Level 1
PA81-3b,5,82,Level 1
PA83-3a,5,83,Level 1
PA83-3b,5,84,Level 1
PA85-3a,5,85,Level 1
PA85-3b,5,86,Level 1
PA87-3a,5,87,Level 1
PA87-3b,5,88,Level 1
PA89-3a,5,89,Level 1
PA89-3b,5,90,Level 1
PA91-3a,5,91,Level 1
PA91-3b,5,92,Level 1
PA93-3a,5,93,Level 1
PA93-3b,5,94,Level 1
PA95-3a,5,95,Level 1
PA95-3b,5,96,Level 1
PA97-3a,5,97,Level 1
PA97-3b,5,98,Level 1
PA99-3a,5,99,Level 1
PA99-3b,5,100,Level 1
PA101-3a,5,101,Level 1
PA101-3b,5,102,Level 1
PA103-3a,5,103,Level 1
PA103-3b,5,104,Level 1
PA105-3a,5,105,Level 1
PA105-3b,5,106,Level 1
PA107-3a,5,107,Level 1
PA107-3b,5,108,Level 1
PA109-3a,5,109,Level 1
PA109-3b,5,110,Level 1
PA111-3a,5,111,Level 1
PA111-3b,5,112,Level 1
PA113-3a,5,113,Level 1
PA113-3b,5,114,Level 1
PA115-3a,5,115,Level 1
PA115-3b,5,116,Level 1
PA117-3a,5,117,Level 1
PA117-3b,5,118,Level 1
